Author Last,Author First,Title,Year Published,Genre,Read?,Number of Pages,BOTM,Aardvark,more than 1 copy?,tbr?,rating
Jauhar,Sandeep,Doctored: The Disillusionment of an American Physician,2014,non-fiction,n,269,,,,,
Jensen,Danielle L.,A Fate Inked in Blood,2024,fantasy,y,418,,,,,9
Johnson,Micaiah,The Space Between Worlds,2020,fantasy,n,327,y,,,,
Jones,Nicholas Blurton,Demography and Evolutionary Ecology of Hadza Hunter-Gatherers,2016,anthropology,dnf,494,,,,,
Joralemon,Donald,Exploring Medical Anthropology (4th Edition),2017,anthropology,y,155,,,,,7
Juris,Jeffrey S.,Networking Futures: The Movements Against Corporate Globalization,2008,anthropology,y,378,,,,,4
Kahler,Abbott,Where You End,2024,horror,n,321,,y,,y,
Kaner,Hannah,Godkiller,2023,fantasy,n,291,,,,y,
Kantner,Seth,Ordinary Wolves,2004,fiction,n,330,,,,,
Kelly,John,"The Great Mortality: An Intimate History of the Black Death, the Most Devastating Plague of All Time",2005,history,n,364,,,,,
Kelly,Anita,Love & Other Disasters,2022,fiction,y,371,y,,,,3
Kelsky,Karen,The Professor Is In,2015,reference,y,438,,,,,5
Kennedy,John,Pathogenesis: A History of the World in Eight Plagues,2023,history,y,294,,,,,7
Kerbo,Harold R.,"Social Stratification and Inequality: Class Conflict in Historical, Comparative, and Global Perspective",2009,sociology,n,519,,,,,
"Kertzer, Fricke","David I., Tom",Anthropological Demography: Toward a New Synthesis,1997,anthropology,n,294,,,,,
Kesey,Ken,One Flew Over the Cuckoo's Nest,1963,fiction,y,325,,,,,9
Kidd,Jess,Things in Jars,2019,fantasy,n,369,y,,,,
Kidd,Sue Monk,The Book of Longings,2020,historical fiction,y,418,y,,,,10
Kidder,Tracy,"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, A Man Who Would Cure the World",2003,biography,n,322,,,y,,
Kidder,Tracy,"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, A Man Who Would Cure the World",2003,biography,n,322,,,y,,
Kim,Lorrie,"Snape: The Definitive Analysis of Hogwart's Mysterious Potions Master, An Unofficial Exploration",2022,fantasy,n,413,,,,y,
Kim,Monika,The Eyes Are The Best Part,2024,horror,n,278,,y,,y,
King,Steven,The Stand,1978,horror,n,1153,,,,y,
King,Lily,Writers & Lovers,2020,fiction,y,324,y,,,,7
Kingfisher,T.,A Sorceress Comes to Call,2024,fantasy,n,325,y,,,y,
Kingfisher,T.,What Moves the Dead,2022,horror,y,165,,,,,9
Kingfisher,T.,What Feasts At Night,2024,horror,y,151,,,,,8
Kingsolver,Barbara,The Poisonwood Bible,1998,historical fiction,n,546,y,,,y,
Kingsolver,Barbara,Demon Copperhead,2022,fiction,y,548,,,,,10
Kitasei,Yume,The Stardust Grail,2024,science fiction,y,311,,y,,,7
Klein,Naomi,This Changes Everything: Capitalism vs. The Climate,2014,non-fiction,dnf,566,,,,,
Klein,Richard G.,The Human Career: Human Biological and Cultural Origins,1989,anthropology,y,523,,,,,5
"Klein, Edgar","Richard G., Blake",The Dawn of Human Culture,2002,anthropology,y,288,,,,,5
"Kleinbaum, Kupper, Nizam, Rosenberg",,Applied Regression Analysis and Other Multivariable Methods,2014,statistics,dnf,1051,,,,,
"Kleinman, Das, Lock","Arthur, Veena, Margaret",Social Suffering,1996,anthropology,y,403,,,,,5
Kneupper,Kevin,They Who Fell,2014,fantasy,n,344,,,,y,
Knoll,Jessica,Bright Young Women,2023,fiction,y,376,y,,,,9
Knowles,John,A Separate Peace,1959,fiction,y,196,,,,,7
Knox,Maggie,The Holiday Swap,2021,fiction,n,342,y,,,,
Kolbert,Elizabeth,The Sixth Extinction: An Unnatural History,2014,science,y,319,,,,,8
Kolysh,Simone,Everyday Violence: The Public Harassment of Women & LGBTQ People,2021,sociology,n,223,,,,,
Kondo,Marie,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,2010,self help,n,213,,,,,
Koontz,Dean,Strangers,1986,thriller,n,689,,,,,
Krakauer,Jon,Into the Wild,1996,non-fiction,y,207,,,,,8
Kuang,R.F.,Babel,2022,fantasy,y,548,,,,,10
Kuang,R.F.,Yellowface,2023,fiction,y,323,,,,,10
LaCruz,Gabriela Romero,The Sun and the Void,2023,fantasy,n,559,,,,y,
Lagerkvist,Pär,Herod & Mariamne,1967,historical fiction,y,115,,,,y,7
Lamb,Wally,She's Come Undone,1992,fiction,y,469,,,,,
Lamb,Wally,I Know This Much is True,1998,fiction,y,897,,,,,10
Lang,Ruth Emmie,Beasts of Extraordinary Circumstance,2017,fiction,n,346,y,,,y,
Langewiesche,Wolfgang,Stick and Rudder: An Explanation of the Art of Flying,1944,non-fiction,n,390,,,,,
Lapham,Lewis H.,Age of Folly: America Abandons its Democracy,2016,non-fiction,n,384,,,,,
Lapidus,Ira M.,A History of Islamic Societies,1988,social science,n,970,,,,,
Lareau,Annette,"Listening to People: A Practical Guide to Interviewing, Participant Observation, Data Analysis, and Writing it All Up",2021,anthropology,n,325,,,,,
Larson,Erik,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",2003,non-fiction,y,447,,,,,8
Larsson,Steig,The Girl with the Dragon Tattoo,2005,fiction,y,590,,,,,9
Lawrence,Markus,The Book that Wouldn't Burn,2023,fantasy,n,559,,,,y,
Le Fanu,Sheridan,Carmilla,1871,horror,n,156,,,,y,
Lee,Harper,Go Set a Watchman,2015,historical fiction,n,278,,,,,
Lee,Jenny,Anna K,2020,fiction,n,382,y,,,,
"Lee, Wang","Elisa T., John Wenyu","Statistical Methods for Survival Data Analysis, Third Edition",2003,statistics,n,510,,,,,
Lennon,Ferdia,Glorious Exploits,2024,fiction,n,285,,,,y,
Leroux,Gaston,The Phantom of the Opera,1910,fiction,n,274,,,,,
Levitin,Daniel J.,The World in Six Songs: How the Musical Brain Created Human Nature,2008,anthropology,y,358,,,,,6
Levy,Lois,Undress Your Stress: 30 Curiously Fun Ways to Take Off Tension,1999,self help,n,208,,,,,
Lewis,C.S.,The Chronicles of Narnia,2001,fantasy,y,767,,,,,6
Linde,K.A.,The Wren in the Holly Library,2024,fantasy,n,381,,,,y,
Lloyd-Jones,Emily,The Wild Huntress,2024,fantasy,n,421,y,,,y,
Lowell,Catherine,The Madwoman Upstairs,2016,fiction,y,339,,,,,7
Lowkis,Carmella,Spitting Gold,2024,fantasy,n,290,y,,,y,
Lowry,Lois,The Giver,1993,science fiction,y,179,,,,,10
Loyola Marymount University,,Criterion,2010,journal,n,126,,,,,
Lucier,Makiia,Dragonfruit,2024,fantasy,y,356,y,,,,6
Ma,Ling,Severance,2018,science fiction,y,291,y,,,,9
Maas,Sarah J.,The Assassin's Blade,2014,fantasy,y,435,,,,,7
Maas,Sarah J.,Throne of Glass,2012,fantasy,y,432,,,,y,8
Maas,Sarah J.,Crown of Midnight,2013,fantasy,y,448,,,,y,8
Maas,Sarah J.,Heir of Fire,2014,fantasy,y,592,,,,y,10
Maas,Sarah J.,A Court of Thorns and Roses,2015,fantasy,y,419,,,,y,9
Maas,Sarah J.,Queen of Shadows,2015,fantasy,y,672,,,,y,9
Maas,Sarah J.,A Court of Mist and Fury,2016,fantasy,y,626,,,,y,10
Maas,Sarah J.,Empire of Storms,2016,fantasy,y,720,,,,y,10
Maas,Sarah J.,Tower of Dawn,2017,fantasy,y,688,,,,y,7
Maas,Sarah J.,A Court of Wings and Ruin,2017,fantasy,y,703,,,,y,9
Maas,Sarah J.,A Court of Frost and Starlight,2018,fantasy,y,233,,,,y,7
Maas,Sarah J.,Kingdom of Ash,2018,fantasy,y,992,,,,y,10
Maas,Sarah J.,Crescent City: House of Earth and Blood,2020,fantasy,y,799,,,,y,9
Maas,Sarah J.,A Court of Silver Flames,2021,fantasy,y,757,,,,y,8
Maas,Sarah J.,Crescent City: House of Sky and Breath,2022,fantasy,y,801,,,,y,10
Maas,Sarah J.,Crescent City: House of Flame and Shadow,2024,fantasy,y,835,,,,y,9
Machiavelli,Niccolo,The Prince,1513,non-fiction,n,147,,,,y,
Mack,Katie,The End of Everything (Astophysically Speaking),2020,non-fiction,n,226,,,,,
MacLauchlin,Cory,Butterfly in the Typewriter: The Tragic Life of John Kennedy Toole and the Remarkable Story of A Confederacy of Dunces,2012,biography,n,319,,,,,
Macneal,Elizabeth,The Burial Plot,2024,fiction,n,330,,,,y,
Maehrer,Hannah Nicole,Assistant to the Villain,2023,fantasy,y,340,,,,,6
Mafi,Tahereh,This Woven Kingdom,2022,fantasy,y,495,,,,,8
Mafi,Tahereh,These Infinite Threads,2023,fantasy,y,402,,,,,9
Mafi,Tahereh,All This Twisted Glory,2024,fantasy,y,397,,,,y,7
Mahajan,Karan,The Association of Small Bombs,2016,fiction,n,276,y,,,,
Malthus,Thomas,An Essay on the Principle of Population,1798,demography,n,60,,,,,
Maniscalco,Kerri,Stalking Jack the Ripper,2016,fiction,n,325,,,,y,
Marion,Isaac,Warm Bodies,2011,science fiction,y,239,,,,,8
Márquez,Gabriel García,One Hundred Years of Solitude,1967,fiction,n,417,,,,y,
Martel,Yann,Life of Pi,2001,fiction,y,326,,,,,10
Martel,Yann,Beatrice and Virgil,2010,fiction,y,197,,,,,6
Martin,Emily,The Woman in the Body: A Cultural Analysis of Reproduction,1987,anthropology,dnf,276,,,,,
Martin,George R.R.,A Knight of the Seven Kingdoms,2015,fantasy,dnf,355,,,,,
Martin,George R.R.,A Game of Thrones,1996,fantasy,y,694,,,,,9
Martin,George R.R.,A Clash of Kings,1999,fantasy,y,761,,,,,8
Martin,George R.R.,A Storm of Swords,2000,fantasy,y,973,,,,,9
Martin,George R.R.,A Feast For Crows,2005,fantasy,y,753,,,,,6
Martin,George R.R.,A Dance With Dragons,2011,fantasy,y,1033,,,,,8
Martin,George R.R.,Fire & Blood,2018,fantasy,y,706,,,,,9
Marx,Karl,Capital: A Critique of Political Economy,1977,politics,n,1141,,,,,
"Marx, Engels","Karl, Friederich",The Communist Manifesto,1888,politics,n,123,,,,,
"Mascie-Taylor, Peters, McGarvey","Nick, Jean, Stephan",The Changing Face of Disease: Implications for Society,2000,edited collection,n,204,,,,,
"Mason, Jenson","Karen Oppenheim, An-Magritt",Gender and Family Change in Industrialized Countries,1995,edited collection,n,329,,,,,
Mass,Wendy,A Mango-Shaped Space,2003,fiction,y,221,,,,,8
Matas,Carol,After the War,1996,young adult fiction,n,133,,,,,
Matheson,Richard,I Am Legend,1954,science fiction,n,317,,,,,
Matloff,Norman,The Art of R Programming: A Tour of Statistical Software Design,2011,reference,y,373,,,,,5
McCarthy,Cormac,No Country for Old Men,2005,fiction,n,309,,,,,
McConaghy,Charlotte,Once There Were Wolves,2021,fiction,y,258,,,,,8
McCulloch,Gretchen,Because Internet: Understanding the New Rules of Language,2019,non-fiction,y,326,y,,,,8
McElreath,Richard,Statistical Rethinking: A Bayesian Course with Examples in R and Stan,2016,statistics,n,469,,,,,
"McElroy, Townsend","Ann, Patricia K.",Medical Anthropology in Ecological Perspective,2015,anthropology,n,382,,,,,
McEwan,Ian,Atonement,2001,historical fiction,n,351,,,,y,
"McGee, Warms","R. Jon, Richard L.",Anthropological Theory: An Introductory History,2012,anthropology,y,615,,,,,5
McKeown,Thomas,"The Role of Medicine: Dream, Mirage, or Nemesis?",1979,medicine,n,207,,,,,
McKeown,Thomas,The Modern Rise of Population,1976,history,y,168,,,,,5
McMichael,Tony,"Human Frontiers, Environments, and Disease: Past Patterns, Uncertain Futures",2001,science,n,413,,,,,
McNeil,Bryan T.,Combating Mountaintop Removal: New Directions in the Fight against Big Coal,2011,anthropology,y,204,,,,,6
McWilliams,James E.,Just Food,2009,non-fiction,y,258,,,,,7
"Meadows, Randers, Meadows","Donella, Jorgen, Dennis",Limits to Growth: The 30-Year Update,2004,demography,n,338,,,,,
Meissner,Susan,As Bright as Heaven,2018,historical fiction,n,387,y,,,,
Mellors,Coco,Cleopatra and Frankenstein,2022,fiction,y,368,,,,,7
Meyer,Stephanie,The Host,2008,science fiction,y,619,,,,,7
Michaelides,Alex,The Silent Patient,2019,thriller,y,232,y,,,,6
Michaelides,Alex,The Fury,2023,,y,295,y,,,,8
"Mielke, Konigsberg, Relethford","James H., Lyle W., John H.",Human Biological Variation,2011,anthropology,y,443,,,,,5
Miller,Tom,The Philosopher's Flight,2018,fantasy,dnf,420,y,,,,
Miller,Arthur,Death of a Salesman,1949,play,y,112,,,,,4
Miller,Madeline,Circe,2018,myth retelling,y,393,y,,,,7
Miller,Rowenna,The Fairy Bargains of Prospect Hill,2023,fantasy,y,408,,,,,9
Mills,Melinda,Introducing Survival and Event History Analysis,2011,data science,y,279,,,,,5
"Mingst, Snyder","Karen A., Jack L.",Essential Readings in World Politics,2011,politics,y,630,,,,,5
Mintz,Sidney W.,Sweetness and Power: The Place of Sugar in Modern History,1985,anthropology,n,274,,,,y,
Miro,J.M.,Ordinary Monsters,2022,fantasy,n,660,,,,y,
Molloy,Aimee,The Perfect Mother,2018,,n,317,y,,,,
Moore,Thomas,A Life at Work: The Joy of Discovering What You were Born to Do,2008,self help,n,188,,,,,
Morabia,Alfredo,The Public Health Approach: Population Thinking from the Black Death to COVID-19,2023,public health,n,215,,,,,
More,Thomas,Utopia,1516,fiction,y,77,,,,,5
Moreno-Garcia,Silvia,Mexican Gothic,2020,horror,y,301,y,,,,8
Morrison,Toni,The Bluest Eye,1970,fiction,n,206,,,,y,
Morrison,Toni,Beloved,1987,fiction,n,324,,,,y,
"Morrow, Price","Baker H., V.B.",Anasazi Architecture and American Design,1997,anthropology,n,241,,,,,
Moshfegh,Ottessa,My Year of Rest and Relaxation,2018,fiction,n,288,,,,y,
Moyes,Jojo,Still Me,2018,fiction,n,390,y,,,,
Moyes,Jojo,Me Before You,2012,fiction,y,369,,,,,7
Munroe,Randall,What If? Serious Scientific Answers to Absurd Hypothetical Questions,2014,non-fiction,y,303,,,,,8
Murakami,Haruki,A Wild Sheep Chase,1989,magical realism,n,353,,,,y,
Murakami,Haruki,The Wind-Up Bird Chronicle,1997,fiction,n,607,,,,y,
Murakami,Haruki,Norwegian Wood,2000,fiction,y,296,,,,,8
Murakami,Haruki,After Dark,2004,fantasy,y,244,,,,,8
Murakami,Haruki,1Q84,2009,fantasy,y,1157,,,,y,8
Murakami,Haruki,Colorless Tsukuru Tazaki and His Years of Pilgrimage,2014,fiction,y,314,,,,,8
"Murkoff, Mazel","Heidi, Sharon",What to Expect when You're Expecting,1984,reference,n,644,,,,,
"Murphy, Sherwood","Christina, Steve","The St. Martin's Sourcebook for Writing Tutors, Fourth Edition",2011,reference,y,384,,,,,5
Nagamatsu,Sequoia,How High We Go in the Dark,2022,science fiction,n,292,,,,y,
Nayler,Ray,The Mountain in the Sea,2022,science fiction,y,452,,,,,8
Nayler,Ray,The Tusks of Extinction,2023,fantasy,y,101,,,,,8
Nelson,Richard,The Island Within,1989,,n,277,,,,,
Nelson,Jandy,When the World Tips Over,2024,fiction,n,519,,y,,y,
Nelson,Jandy,The Sky is Everywhere,2010,young adult fiction,y,275,,,,,8
Nelson,Jandy,I'll Give You The Sun,2014,fiction,y,371,,,,,7
"Nesse, Williams","Randolph M., George C.",Why We Get Sick: The New Science of Darwinian Medicine,1994,anthropology,n,290,,,,,
Nethercott,Genna Rose,Thistlefoot,2022,myth retelling,n,431,y,,,,
"Neusius, Gross","Sarah W., G. Timothy",Seeking Our Past: An Introduction to North American Archaeology,2014,anthropology,n,569,,,,,
Newell,Colin,Methods and Models in Demography,1988,demography,n,217,,,,,
Ng,Celeste,Little Fires Everywhere,2017,fiction,y,338,y,,,,9
Novik,Naomi,Spinning Silver,2018,fantasy,n,466,y,,,,
Nugent,Liz,Strange Sally Diamond,2023,fiction,y,309,,,,y,8
O'Brien,Cory,George Washington is Cash Money: A No-Bullshit Guide to the United Myths of America,2015,humor,n,223,,,,,
O'Brien,Tim,The Things They Carried,1990,historical fiction,y,246,,,,,9
O'Brien,Cory,Zeus Grants Stupid Wishes: A No-Bullshit Guide to World Mythology,2013,humor,y,287,,,,,8
O'Donoghue,Caroline,All Our Hidden Gifts,2021,fantasy,y,374,,,,,8
O'Farrell,Maggie,Hamnet,2020,historical fiction,y,305,,,,,10
Obama,Michelle,Becoming,2018,memoir,y,427,,,,,8
Okosun,Ehigbor,Forged by Blood,2023,fantasy,n,389,,,,y,
Oliver,Sally,Garden of Earthly Bodies,2022,horror,y,314,,,,,7
Orwell,George,Animal Farm,1946,fiction,y,141,,,,,8
Orwell,George,1984,1950,science fiction,y,328,,,,,8
Ostrom,"Charles W., Jr.",Time Series Analysis: Regression Techniques,1978,statistics,n,85,,,,,
Owen,Lauren,Small Angels,2022,magical realism,n,386,y,,,,
Owen,Roger,"State, Power, and Politics in the Making of the Modern Middle East",1992,anthropology,y,279,,,,,5
Palacio,R.J.,Wonder,2012,young adult fiction,y,310,,,,,5
Pan,Emily X.R.,The Astonishing Color of After,2018,fiction,n,472,y,,,y,
Paolini,Christopher,Eragon,2003,fantasy,y,509,,,,,9
Paolini,Christopher,Eldest,2005,fantasy,y,681,,,,,9
Paolini,Christopher,Brisingr,2008,fantasy,y,763,,,,,7
Paolini,Christopher,Inheritance,2011,fantasy,y,560,,,,,6
Park,Michael Alan,Biological Anthropology: An Introductory Reader,2010,anthropology,n,208,,,,,
Parker,Sarah A.,When the Moon Hatched,2024,fantasy,y,690,,,,,5
Parry,H.G.,The Magician's Daughter,2023,fantasy,dnf,372,,,,,
Patchett,Ann,Tom Lake,2023,fiction,y,309,,,,,6
Paterson,Katherine,Bridge to Terabithia,1977,fiction,y,128,,,,,8
Pearson,Mary E.,Dance of Thieves,2018,fantasy,y,508,,,,,8
Pearson,Mary E.,Vow of Thieves,2019,fantasy,y,480,,,,,8
"Peil, Segerberg","Gerard, Osborn Jr.",The World of René Dubos: A Collection from his Writings,1990,biography,n,418,,,,,
Penner,Sarah,The Lost Apothecary,2021,historical fiction,y,301,y,,,,7
Phillips,Helen,Hum,2024,science fiction,y,262,y,,,,8
"Phillips-Chan, Smith, Gales","Amy, R. B., Carol",Stronger Together: Kammanatut Atausigun Iknaqataghaghluta Qerngaamta: Bering Strait Communities Respond to the COVID-19 Pandemic,2024,anthropology,n,204,,,,y,
Picoult,Jodi,My Sister's Keeper,2004,fiction,y,423,,,,,7
"Picoult, Boylan","Jodi, Jennifer Finney",Mad Honey,2022,fiction,y,454,,,,,7
Pinker,Steven,The Better Angels of Our Nature: Why Violence has Declined,2011,non-fiction,n,802,,,,,
Plath,Sylvia,The Bell Jar,1971,fiction,y,244,,,,,10
Pocket Genius,,Dinosaurs: Facts at Your Fingertips,2012,reference,y,156,,,,,5
Poe,Edgar Allen,Complete Tales & Poems,1975,poetry,n,1026,,,,,
Polk,C. L.,Even Though I Knew The End,2022,fantasy,y,136,,,,y,8
Popkey,Miranda,Topics of Conversation,2020,fiction,y,215,y,,,,8
Poranek,A.B.,Where the Dark Stands Still,2024,fantasy,n,353,,,,y,
"Pratchett, Gaiman","Terry, Neil",Good Omens,1990,fiction,y,379,,,,,9
"Preston, Heuveline, Guillot","Samuel H., Patrick, Michel",Demography: Measuring and Modeling Population Processes,2001,demography,y,291,,,,,5
Pullman,Philip,His Dark Materials,1995,fantasy,dnf,1102,,,,,
Puzo,Mario,The Godfather,1969,fiction,n,568,,,,,
Pyle,Nathan W.,Strange Planet,2019,humor,y,144,,,,,8
Quinn,Tom,Flu: A Social History of Influenza,2008,history,n,223,,,,,
Ralph,Laurence,Renegade Dreams: Living Through Injury in Gangland Chicago,2014,anthropology,y,250,,,,,8
Rand,Ayn,The Fountainhead,1943,fiction,n,736,,,,y,
Rand,Ayn,Atlas Shrugged,1957,fiction,n,1168,,,,y,
Ratajkowski,Emily,My Body,2021,memoir,y,233,y,,,,2
Ray,C. Claiborne,Book of Science Questions & Answers,1997,non-fiction,n,249,,,,,
Reid,Ava,Juniper & Thorn,2022,horror,n,301,,,,y,
Reid,Taylor Jenkins,The Seven Husbands of Evelyn Hugo,2017,historical fiction,y,391,y,,,y,8
Reid,Ava,A Study in Drowning,2023,fantasy,y,376,,,,,8
Reid,Ava,Lady Macbeth,2024,fantasy,y,295,,,,,9
Reid,Kiley,Come & Get It,2024,fiction,y,390,,,,,9
Reilly,Matthew,Contest,2003,thriller,n,424,,,,,
Rio,M.L.,Graveyard Shift,2024,horror,y,134,,,,,7
Rio,M.L.,If We Were Villains,2017,fiction,y,358,,,,,7
Ritzer,George,The McDonaldization of Society,2013,sociology,n,237,,,,,
Rivers,Francine,Reedeming Love,1989,fiction,n,479,,,,,
Roanhorse,Rebecca,Black Sun,2020,fantasy,n,454,,,,y,
Robins,Garry,Doing Social Network Research: Network-Based Research Design for Social Scientists,2015,data science,dnf,261,,,,,
Rogers,Bruce,"The Monument to Robert Gould Shaw: Its Inception, Completion and Unveiling, 1865-1897",1897,history,n,97,,,,,
"Romanucci-Ross, Moerman, Tancredi","Lola, Daniel E., Laurence R.",The Anthropology of Medicine: From Culture to Method,1991,anthropology,n,442,,,,,
Rooney,Sally,Conversations with Friends,2017,fiction,y,323,,,,,6
Rooney,Sally,Normal People,2018,fiction,y,273,,,,,9
Rosen,George,A History of Public Health,1958,public health,n,370,,,,,
Ross,Rebecca,Ruthless Vows,2023,fantasy,dnf,420,,,,,
Ross,Rebecca,A River Enchanted,2022,fantasy,n,467,y,,,,
Ross,Rebecca,Divine Rivals,2023,fantasy,y,354,,,,,5
Roth,Veronica,Insurgent,2012,science fiction,y,515,,,,,5
Rowland,Donald T.,Demographic Methods and Concepts,2003,demography,y,546,,,,,5
Rowling,J.K.,Harry Potter and the Cursed Child,2016,play,n,327,,,,,
Rowling,J.K.,Harry Potter and the Sorcerer's Stone,1997,young adult fantasy,y,223,,,,,7
Rowling,J.K.,Harry Potter and the Philosopher's Stone (Hogwarts House Edition),1997,young adult fantasy,y,350,,,,,
Rowling,J.K.,Harry Potter y la Piedra Filosofal,1997,young adult fiction,y,285,,,y,,6
Rowling,J.K.,Harry Potter and the Chamber of Secrets,1998,young adult fantasy,y,251,,,,,7
Rowling,J.K.,Harry Potter and the Chamber of Secrets (Hogwarts House Edition),1998,young adult fantasy,y,371,,,,,
Rowling,J.K.,Harry Potter and the Prisoner of Azkaban,1999,young adult fantasy,y,317,,,,,9
Rowling,J.K.,Harry Potter and the Prisoner of Azkaban (Hogwarts House Edition),1999,young adult fantasy,y,465,,,,,
Rowling,J.K.,Harry Potter and the Goblet of Fire,2000,young adult fantasy,y,636,,,y,,9
Rowling,J.K.,Harry Potter and the Goblet of Fire,2000,young adult fantasy,y,734,,,y,,9
Rowling,J.K.,Harry Potter and the Goblet of Fire (Hogwarts House Edition),2000,young adult fantasy,y,627,,,,,
Rowling,J.K.,Harry Potter and the Order of the Phoenix,2003,young adult fantasy,y,766,,,,,8
Rowling,J.K.,Harry Potter and the Half-Blood Prince,2005,young adult fantasy,y,607,,,,,10
Rowling,J.K.,Harry Potter and the Deathly Hallows,2007,young adult fantasy,y,607,,,,,10
Rowling,J.K.,The Casual Vacancy,2012,fiction,y,503,,,,,7
Rowling,J.K.,Harry Potter and the Sorcerer's Stone (Illustrated),2015,young adult fiction,y,256,,,,,8
Rowling,J.K.,Harry Potter and the Chamber of Secrets (Illustrated),2016,young adult fiction,y,272,,,,,8
Rowling,J.K.,Harry Potter and the Prisoner of Azkaban (Illustrated),2017,fantasy,y,445,,,y,,
Rowling,J.K.,Harry Potter and the Goblet of Fire (Illustrated),2019,fantasy,y,464,,,y,,
"Rowling, Tiffany, Thorne","J.K., John, Jack",Harry Potter and the Cursed Child,2016,young adult fantasy,n,319,,,,,
Rozakis,Caitlin,Dreadful,2024,fantasy,y,347,,y,,,6
Rum,Etaf,Evil Eye,2023,fiction,n,340,y,,,,
Rushdie,Salman,The Satanic Verses,1988,fiction,n,561,,,,y,
Rushdie,Salman,Haroun and the Sea of Stories,1990,fiction,y,215,,,,,7
Rutger,Michael,The Anomaly,2018,fantasy,y,339,y,,,,6
Rutherford,Adam,A Brief History of Everyone Who Ever Lived: The Human Story Retold Through Our Genes,2016,non-fiction,n,401,,,,,
Sachar,Louis,Holes,1998,fiction,y,253,,,,,9
Saft,Allison,A Dark and Drowning Tide,2024,fiction,y,370,,y,,,6
Sagan,Carl,Cosmos,1980,non-fiction,n,432,,,,,
Sagan,Carl,Pale Blue Dot: A Vision of the Human Future in Space,1994,non-fiction,n,359,,,,,
Sager,Riley,The Last Time I Lied,2018,thriller,n,370,y,,,,
Saini,Angela,Superior: The Return of Race Science,2019,non-fiction,n,242,,,,,
Saint,Jennifer,Ariadne,2021,myth retelling,y,305,y,,,,6
Saint,Jennifer,Atalanta,2023,myth retelling,y,300,,,,,6
Sanderson,Brandon,The Frugal Wizard's Handbook for Surviving Medieval England,2023,fantasy,dnf,366,,,,,
Sanderson,Brandon,Mistborn,2006,fantasy,n,552,,,,y,
Sangoyomi,O. O.,Masquerade,2024,fantasy,n,340,,y,,y,
"Saussy, Kidder","Haun, Tracy",A Partner to the Poor: A Paul Farmer Reader,2010,anthropology,n,660,,,,,
Sbrana,Analeigh,Lore of the Wilds,2024,fantasy,y,338,,,,,7
Scheper-Hughes,Nancy,Death Without Weeping: The Violence of Everyday Life in Brazil,1992,anthropology,y,614,,,,,6
Schlosser,Eric,Fast Food Nation,2001,non-fiction,y,383,,,,,8
Schneider,Robyn,The Beginning of Everything,2013,young adult fiction,n,335,,,,,
Schwab,V.E.,The Invisible Life of Addie LaRue,2020,fantasy,y,444,y,,,,9
Schwab,V.E.,Gallant,2022,fantasy,y,338,,,,,7
Schwab,V.E.,The Fragile Threads of Power,2023,fantasy,y,648,y,,,,8
"Sears, Sears","Robert, James",The Baby Book: Everything You Need to Know About Your Baby from Birth to Age Two,1992,reference,n,767,,,,,
Sebastian,Laura,Half Sick of Shadows,2021,fantasy,n,434,y,,,,
Sebold,Alice,The Lovely Bones,2002,fiction,y,328,,,,,7
"Seeberg, Roepstorff, Meinert","Jens, Andreas, Lotte",Biosocial Worlds: Anthropology of Health Environments Beyond Determinism,2020,anthropology,n,218,,,,,
Seinfeld,Jessica,Deceptively Delicious: Simple Secrets to Get Your Kids Eating Good Food,2007,cookbook,n,204,,,,,
Selene,Lyra,A Feather So Black,2024,fantasy,n,487,,,,y,
Sewell,Anna,Black Beauty,1877,fiction,y,186,,,,,7
Shaffer,Meg,The Wishing Game,2023,fantasy,y,286,y,,,,6
Shah,Alpa,"In the Shadows of the State: Indigenous Politics, Environmentalism, and Insurgency in Jharkhand, India",2010,anthropology,n,271,,,,,
Shannon,Samantha,The Priory of the Orange Tree,2019,fantasy,y,830,,,,,10
Shannon,Samantha,A Day of Fallen Night,2023,fantasy,y,884,,,,,10
Shelley,Mary,Frankenstein,1818,science fiction,y,194,,,y,y,10
Shelley,Mary,Frankenstein,1818,science fiction,y,273,,,y,,10
Shever,Elana,Resources for Reform: Oil and Neoliberalism in Argentina,2012,anthropology,y,230,,,,,6
Sholts,Sabrina,"The Human Disease: How We Create Pandemics, from Our Bodies to Our Beliefs",2024,anthropology,n,327,,,,y,
Shusterman,Neal,Scythe,2016,science fiction,y,435,,,,,10
Shusterman,Neal,Thunderhead,2018,science fiction,y,504,,,,,8
Shusterman,Neal,The Toll,2019,science fiction,y,623,,,,,8
Silko,Leslie Marmon,Ceremony,1977,fiction,n,261,,,,,
Silver,Josie,The Two Lives of Lydia Bird,2020,fantasy,n,368,y,,,,
Silver,Josie,One Day in December,2018,fiction,y,392,y,,,,8
Silvia,Paul J.,How to Write a Lot: A Practical Guide to Productive Academic Writing,2007,non-fiction,y,149,,,,,7
Sinclair,Upton,The Jungle,1905,fiction,n,404,,,,,
"Singer, Page","Merrill, J. Bryan",The Social Value of Drug Addicts: Uses of the Useless,2014,anthropology,y,248,,,,,6
